Censys_missed_chi2,Censys_missed_lsvc,Censys_missed_rf,Censys_delay_chi2,Censys_delay_lsvc,Censys_delay_rf,Entrust_missed_chi2,Entrust_missed_lsvc,Entrust_missed_rf,Entrust_delay_chi2,Entrust_delay_lsvc,Entrust_delay_rf,Facebook_missed_chi2,Facebook_missed_lsvc,Facebook_missed_rf,Facebook_delay_chi2,Facebook_delay_lsvc,Facebook_delay_rf,Google_missed_chi2,Google_missed_lsvc,Google_missed_rf,Google_delay_chi2,Google_delay_lsvc,Google_delay_rf,SSLMate_missed_chi2,SSLMate_missed_lsvc,SSLMate_missed_rf,SSLMate_delay_chi2,SSLMate_delay_lsvc,SSLMate_delay_rf
Censys0: [# of Domain Over Target (9.21e+04)],Censys0: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (8.57e-02)],Censys0: [# of Domain Over Target (7.83e+02)],Censys0: [# of Domain Over Target (8.63e+04)],Censys0: [Issuer: COMODO ECC Extended Validation Secure Server CA (5.48e-01)],Censys0: [MinStart2LoggedSub (7.83e+02)],Entrust0: [MaxFacebookPages (2.51e+04)],Entrust0: [Issuer: COMODO ECC Domain Validation Secure Server CA (5.77e-01)],Entrust0: [# of certs of the website (7.83e+02)],Entrust0: [MaxFacebookPages (2.58e+04)],Entrust0: [Issuer: COMODO ECC Extended Validation Secure Server CA (3.44e-01)],Entrust0: [MinStart2LoggedSub (7.83e+02)],Facebook0: [MinFacebookPages (3.29e+04)],Facebook0: [Issuer: CEDEFOP CA R1 (2.66e-01)],Facebook0: [MaxReferenceSetSize (7.83e+02)],Facebook0: [MinFacebookPages (3.50e+04)],Facebook0: [Issuer: CEDEFOP CA R1 (2.70e-01)],Facebook0: [AvgStart2LoggedSub (7.83e+02)],Google0: [Suffix: onca (3.03e+04)],Google0: [Issuer: COMODO ECC Extended Validation Secure Server CA (6.61e-01)],Google0: [mean string length of targets (7.83e+02)],Google0: [Suffix: onca (3.09e+04)],Google0: [Issuer: COMODO ECC Extended Validation Secure Server CA (2.14e-01)],Google0: [MinStart2LoggedSub (7.83e+02)],SSLMate0: [MinReferenceSetSize (4.04e+05)],SSLMate0: [Issuer: COMODO ECC Extended Validation Secure Server CA (1.69e-02)],SSLMate0: [# of certs of the website (7.83e+02)],SSLMate0: [MinReferenceSetSize (4.09e+05)],SSLMate0: [Issuer: COMODO ECC Extended Validation Secure Server CA (8.82e-01)],SSLMate0: [# of certs of the website (7.83e+02)]
Censys1: [# of domains in cert (6.77e+04)],Censys1: [Issuer: COMODO ECC Domain Validation Secure Server CA (2.55e-02)],Censys1: [# of domains in cert (7.82e+02)],Censys1: [# of domains in cert (6.27e+04)],Censys1: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (3.39e-01)],Censys1: [AvgStart2LoggedSub (7.82e+02)],Entrust1: [MaxReferenceSetSize (2.27e+04)],Entrust1: [Issuer: CFCA OV OCA (2.90e-01)],Entrust1: [LoggedSub2Expire (7.82e+02)],Entrust1: [MaxReferenceSetSize (2.55e+04)],Entrust1: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (1.16e-01)],Entrust1: [AvgStart2LoggedSub (7.82e+02)],Facebook1: [AvgFacebookPages (1.03e+04)],Facebook1: [Issuer: CA134100031 (2.28e-01)],Facebook1: [# of certs of the website (7.82e+02)],Facebook1: [AvgFacebookPages (1.10e+04)],Facebook1: [Issuer: CA134100031 (2.48e-01)],Facebook1: [MinStart2LoggedSub (7.82e+02)],Google1: [MaxFacebookPages (2.38e+04)],Google1: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (6.53e-01)],Google1: [mean string length of domains (7.82e+02)],Google1: [MaxFacebookPages (2.37e+04)],Google1: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (1.35e-01)],Google1: [Start2LoggedSub (7.82e+02)],SSLMate1: [AvgReferenceSetSize (3.72e+05)],SSLMate1: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (1.50e-02)],SSLMate1: [MaxReferenceSetSize (7.82e+02)],SSLMate1: [AvgReferenceSetSize (3.73e+05)],SSLMate1: [Issuer: COMODO ECC Domain Validation Secure Server CA 2 (4.89e-01)],SSLMate1: [MinFacebookPages (7.82e+02)]
Censys2: [Suffix: commt (9.40e+03)],Censys2: [Issuer: CFCA OV OCA (4.56e-03)],Censys2: [LoggedSub2Expire (7.81e+02)],Censys2: [MinGrowth (1.49e+04)],Censys2: [Issuer: COMODO ECC Domain Validation Secure Server CA (2.09e-01)],Censys2: [MaxStart2LoggedSub (7.81e+02)],Entrust2: [# of certs of the website (2.21e+04)],Entrust2: [Issuer: CFCA EV OCA (1.86e-01)],Entrust2: [AvgLoggedSub2Expire (7.81e+02)],Entrust2: [# of certs of the website (2.40e+04)],Entrust2: [Issuer: COMODO ECC Domain Validation Secure Server CA (8.71e-02)],Entrust2: [MaxStart2LoggedSub (7.81e+02)],Facebook2: [MaxFacebookPages (7.01e+03)],Facebook2: [Issuer: CA131100001 (8.78e-02)],Facebook2: [MinReferenceSetSize (7.81e+02)],Facebook2: [MaxFacebookPages (7.50e+03)],Facebook2: [Issuer: CA131100001 (2.15e-01)],Facebook2: [MaxStart2LoggedSub (7.81e+02)],Google2: [Logged format: Both (1.90e+04)],Google2: [Issuer: COMODO ECC Domain Validation Secure Server CA (9.49e-02)],Google2: [LoggedSub2Expire (7.81e+02)],Google2: [MinGrowth (2.31e+04)],Google2: [Issuer: COMODO ECC Domain Validation Secure Server CA (1.19e-01)],Google2: [LoggedSub2Expire (7.81e+02)],SSLMate2: [MaxReferenceSetSize (3.54e+05)],SSLMate2: [Issuer: COMODO ECC Domain Validation Secure Server CA (1.36e-02)],SSLMate2: [MinFacebookPages (7.81e+02)],SSLMate2: [MaxReferenceSetSize (3.54e+05)],SSLMate2: [Issuer: COMODO ECC Domain Validation Secure Server CA (3.67e-01)],SSLMate2: [MaxReferenceSetSize (7.81e+02)]
Censys3: [Suffix: couk (3.52e+03)],Censys3: [Issuer: CFCA EV OCA (3.54e-03)],Censys3: [mean string length of domains (7.80e+02)],Censys3: [Suffix: commt (1.11e+04)],Censys3: [Issuer: CFCA OV OCA (7.59e-02)],Censys3: [LoggedSub2Expire (7.80e+02)],Entrust3: [MinGrowth (1.85e+04)],Entrust3: [Issuer: CEDEFOP CA R1 (4.83e-02)],Entrust3: [MaxStart2LoggedSub (7.80e+02)],Entrust3: [MinGrowth (2.08e+04)],Entrust3: [Issuer: CFCA OV OCA (6.10e-02)],Entrust3: [LoggedSub2Expire (7.80e+02)],Facebook3: [# of certs of the website (3.47e+03)],Facebook3: [Issuer: Buypass Class 2 CA 5 (9.82e-03)],Facebook3: [MaxLoggedSub2Expire (7.80e+02)],Facebook3: [# of certs of the website (3.61e+03)],Facebook3: [Issuer: Buypass Class 2 CA 5 (1.66e-01)],Facebook3: [AvgLoggedSub2Expire (7.80e+02)],Google3: [MinGrowth (1.77e+04)],Google3: [Issuer: CFCA OV OCA (8.40e-02)],Google3: [max string length of targets (7.80e+02)],Google3: [Logged format: Both (1.98e+04)],Google3: [Issuer: CFCA OV OCA (1.14e-01)],Google3: [MaxStart2LoggedSub (7.80e+02)],SSLMate3: [# of certs of the website (3.33e+05)],SSLMate3: [Issuer: CFCA OV OCA (1.33e-02)],SSLMate3: [MaxFacebookPages (7.80e+02)],SSLMate3: [# of certs of the website (3.33e+05)],SSLMate3: [Issuer: CFCA OV OCA (1.32e-01)],SSLMate3: [MinReferenceSetSize (7.80e+02)]
Censys4: [Suffix: me (2.45e+03)],Censys4: [Issuer: CEDEFOP CA R1 (2.11e-03)],Censys4: [MaxStart2LoggedSub (7.79e+02)],Censys4: [Suffix: onca (8.30e+03)],Censys4: [Issuer: CFCA EV OCA (5.88e-02)],Censys4: [MinEndSize (7.79e+02)],Entrust4: [MaxStartSize (1.72e+04)],Entrust4: [Issuer: CA134100031 (2.99e-02)],Entrust4: [AvgGrowth (7.79e+02)],Entrust4: [AvgReferenceSetSize (1.92e+04)],Entrust4: [Issuer: CFCA EV OCA (4.95e-02)],Entrust4: [AvgReferenceSetSize (7.79e+02)],Facebook4: [MinReferenceSetSize (3.34e+03)],Facebook4: [Issuer: Buypass Class 2 CA 2 (2.16e-03)],Facebook4: [MinLoggedSub2Expire (7.79e+02)],Facebook4: [MinReferenceSetSize (3.50e+03)],Facebook4: [Issuer: Buypass Class 2 CA 2 (1.12e-01)],Facebook4: [MaxLoggedSub2Expire (7.79e+02)],Google4: [Logged format: Pre (1.15e+04)],Google4: [Issuer: CFCA EV OCA (3.12e-02)],Google4: [AvgFacebookPages (7.79e+02)],Google4: [Logged format: Pre (1.20e+04)],Google4: [Issuer: CFCA EV OCA (9.74e-02)],Google4: [AvgStart2LoggedSub (7.79e+02)],SSLMate4: [Logged format: Both (9.67e+04)],SSLMate4: [Issuer: CFCA EV OCA (1.29e-02)],SSLMate4: [MinReferenceSetSize (7.79e+02)],SSLMate4: [Logged format: Both (9.68e+04)],SSLMate4: [Issuer: CFCA EV OCA (1.25e-01)],SSLMate4: [MinStart2LoggedSub (7.79e+02)]
Censys5: [Suffix: acid (2.26e+03)],Censys5: [Issuer: CA134100031 (1.72e-03)],Censys5: [Start2LoggedSub (7.78e+02)],Censys5: [MaxStart2LoggedSub (6.43e+03)],Censys5: [Issuer: CEDEFOP CA R1 (4.83e-02)],Censys5: [AvgLoggedSub2Expire (7.78e+02)],Entrust5: [AvgReferenceSetSize (1.69e+04)],Entrust5: [Issuer: CA131100001 (9.71e-03)],Entrust5: [Lifetime of the cert (7.78e+02)],Entrust5: [MaxStartSize (1.88e+04)],Entrust5: [Issuer: CEDEFOP CA R1 (3.17e-02)],Entrust5: [MaxLoggedSub2Expire (7.78e+02)],Facebook5: [AvgReferenceSetSize (3.31e+03)],Facebook5: [Issuer: Autoridade Certificadora do SERPRORFB SSL (1.11e-03)],Facebook5: [AvgLoggedSub2Expire (7.78e+02)],Facebook5: [AvgReferenceSetSize (3.46e+03)],Facebook5: [Issuer: Autoridade Certificadora do SERPRORFB SSL (9.79e-02)],Facebook5: [LoggedSub2Expire (7.78e+02)],Google5: [AvgGrowth (7.95e+03)],Google5: [Issuer: CEDEFOP CA R1 (4.74e-03)],Google5: [Start2LoggedSub (7.78e+02)],Google5: [MaxStartSize (9.54e+03)],Google5: [Issuer: CEDEFOP CA R1 (8.68e-02)],Google5: [mean string length of targets (7.78e+02)],SSLMate5: [Logged format: Pre (7.22e+04)],SSLMate5: [Issuer: CEDEFOP CA R1 (2.47e-03)],SSLMate5: [LoggedSub2Expire (7.78e+02)],SSLMate5: [Logged format: Pre (7.40e+04)],SSLMate5: [Issuer: CEDEFOP CA R1 (1.18e-01)],SSLMate5: [LoggedSub2Expire (7.78e+02)]
Censys6: [Suffix: comau (2.18e+03)],Censys6: [Issuer: CA131100001 (3.71e-04)],Censys6: [min string length of domains (7.74e+02)],Censys6: [LoggedSub2Expire (6.17e+03)],Censys6: [Issuer: CA134100031 (1.33e-02)],Censys6: [AvgStartSize (7.75e+02)],Entrust6: [AvgFacebookPages (1.17e+04)],Entrust6: [Issuer: Buypass Class 2 CA 5 (7.05e-03)],Entrust6: [MinGrowth (7.74e+02)],Entrust6: [Suffix: onca (1.49e+04)],Entrust6: [Issuer: CA134100031 (2.86e-02)],Entrust6: [MinLoggedSub2Expire (7.75e+02)],Facebook6: [MaxReferenceSetSize (3.28e+03)],Facebook6: [Issuer: ApplicationCA2 Sub (1.40e-04)],Facebook6: [Start2LoggedSub (7.74e+02)],Facebook6: [MaxReferenceSetSize (3.42e+03)],Facebook6: [Issuer: ApplicationCA2 Sub (9.36e-02)],Facebook6: [MaxGrowth (7.74e+02)],Google6: [MaxStartSize (7.80e+03)],Google6: [Issuer: CA134100031 (1.54e-03)],Google6: [max string length of domains (7.75e+02)],Google6: [AvgGrowth (9.39e+03)],Google6: [Issuer: CA134100031 (6.33e-02)],Google6: [MaxLoggedSub2Expire (7.75e+02)],SSLMate6: [Suffix: com (3.18e+04)],SSLMate6: [Issuer: CA134100031 (1.81e-05)],SSLMate6: [AvgReferenceSetSize (7.75e+02)],SSLMate6: [Suffix: com (3.19e+04)],SSLMate6: [Issuer: CA134100031 (9.72e-02)],SSLMate6: [MaxStart2LoggedSub (7.75e+02)]
Censys7: [# of matched targets in cert (1.76e+03)],Censys7: [Issuer: Buypass Class 2 CA 5 (7.58e-05)],Censys7: [max string length of domains (7.73e+02)],Censys7: [Lifetime of the cert (5.13e+03)],Censys7: [Issuer: CA131100001 (1.06e-02)],Censys7: [MinStartSize (7.74e+02)],Entrust7: [MaxEndSize (1.16e+04)],Entrust7: [Issuer: Buypass Class 2 CA 2 (4.44e-03)],Entrust7: [MinStart2LoggedSub (7.73e+02)],Entrust7: [MaxEndSize (1.28e+04)],Entrust7: [Issuer: CA131100001 (2.10e-02)],Entrust7: [AvgStartSize (7.74e+02)],Facebook7: [Suffix: cl (1.24e+03)],Facebook7: [Issuer: Apple Server Authentication CA 2 (6.74e-06)],Facebook7: [LoggedSub2Expire (7.73e+02)],Facebook7: [MinGrowth (1.86e+03)],Facebook7: [Issuer: Apple Server Authentication CA 2 (9.18e-02)],Facebook7: [MinLoggedSub2Expire (7.73e+02)],Google7: [MinEndSize (7.36e+03)],Google7: [Issuer: CA131100001 (4.27e-04)],Google7: [MinStart2LoggedSub (7.74e+02)],Google7: [MinEndSize (8.02e+03)],Google7: [Issuer: CA131100001 (6.32e-02)],Google7: [End hour (7.74e+02)],SSLMate7: [Suffix: edu (2.58e+04)],SSLMate7: [Issuer: CA131100001 (8.36e-06)],SSLMate7: [AvgFacebookPages (7.74e+02)],SSLMate7: [Suffix: edu (2.58e+04)],SSLMate7: [Issuer: CA131100001 (7.03e-02)],SSLMate7: [AvgFacebookPages (7.74e+02)]
Censys8: [Suffix: net (1.09e+03)],Censys8: [Issuer: Buypass Class 2 CA 2 (4.89e-05)],Censys8: [# of matched targets in cert (7.72e+02)],Censys8: [Logged format: Final (4.80e+03)],Censys8: [Issuer: Buypass Class 2 CA 5 (6.30e-03)],Censys8: [Start2LoggedSub (7.73e+02)],Entrust8: [AvgGrowth (9.85e+03)],Entrust8: [Issuer: Autoridade Certificadora do SERPRORFB SSL (4.26e-03)],Entrust8: [AvgFacebookPages (7.72e+02)],Entrust8: [AvgFacebookPages (1.15e+04)],Entrust8: [Issuer: Buypass Class 2 CA 5 (8.77e-03)],Entrust8: [# of certs of the website (7.73e+02)],Facebook8: [Suffix: es (9.06e+02)],Facebook8: [Issuer: Apple Server Authentication CA (4.61e-07)],Facebook8: [MaxStart2LoggedSub (7.72e+02)],Facebook8: [Suffix: cl (1.15e+03)],Facebook8: [Issuer: Apple Server Authentication CA (5.83e-02)],Facebook8: [# of certs of the website (7.72e+02)],Google8: [AvgFacebookPages (6.56e+03)],Google8: [Issuer: Buypass Class 2 CA 5 (3.04e-05)],Google8: [MaxLoggedSub2Expire (7.73e+02)],Google8: [AvgFacebookPages (6.85e+03)],Google8: [Issuer: Buypass Class 2 CA 5 (6.05e-02)],Google8: [mean string length of domains (7.73e+02)],SSLMate8: [# of SHA256 (1.33e+04)],SSLMate8: [Issuer: Buypass Class 2 CA 5 (1.45e-07)],SSLMate8: [AvgStart2LoggedSub (7.73e+02)],SSLMate8: [MinGrowth (1.75e+04)],SSLMate8: [Issuer: Buypass Class 2 CA 5 (6.63e-02)],SSLMate8: [Start2LoggedSub (7.73e+02)]
Censys9: [Suffix: no (1.02e+03)],Censys9: [Issuer: Autoridade Certificadora do SERPRORFB SSL (1.91e-05)],Censys9: [MinLoggedSub2Expire (7.71e+02)],Censys9: [MaxStartSize (4.59e+03)],Censys9: [Issuer: Buypass Class 2 CA 2 (8.36e-04)],Censys9: [MaxLoggedSub2Expire (7.72e+02)],Entrust9: [MinEndSize (6.58e+03)],Entrust9: [Issuer: ApplicationCA2 Sub (3.81e-03)],Entrust9: [AvgStart2LoggedSub (7.71e+02)],Entrust9: [AvgGrowth (1.10e+04)],Entrust9: [Issuer: Buypass Class 2 CA 2 (7.30e-03)],Entrust9: [AvgLoggedSub2Expire (7.72e+02)],Facebook9: [Suffix: gov (1.71e+02)],Facebook9: [Issuer: Apple Public Server RSA CA 12 - G1 (9.66e-09)],Facebook9: [mean string length of targets (7.71e+02)],Facebook9: [Suffix: es (1.05e+03)],Facebook9: [Issuer: Apple Public Server RSA CA 12 - G1 (4.57e-02)],Facebook9: [MaxReferenceSetSize (7.71e+02)],Google9: [MinStartSize (5.90e+03)],Google9: [Issuer: Buypass Class 2 CA 2 (2.13e-05)],Google9: [MaxReferenceSetSize (7.72e+02)],Google9: [MaxEndSize (6.36e+03)],Google9: [Issuer: Buypass Class 2 CA 2 (5.98e-02)],Google9: [Start hour (7.72e+02)],SSLMate9: [MinGrowth (1.30e+04)],SSLMate9: [Issuer: Buypass Class 2 CA 2 (5.07e-08)],SSLMate9: [MaxStart2LoggedSub (7.72e+02)],SSLMate9: [# of SHA256 (1.35e+04)],SSLMate9: [Issuer: Buypass Class 2 CA 2 (6.20e-02)],SSLMate9: [AvgStart2LoggedSub (7.72e+02)]
